面積（k㎡）,推計人口(人),人口増加率(％),平均年齢(歳),完全失業率（％）,市町村民所得（１人当）（千円）,市町村名
39.98,319136,0,42.79,6.5,2485,那覇市
19.8,97144,0.66,40.13,6.4,2057,宜野湾市
229.15,47883,0.2,42.49,4.7,2195,石垣市
19.48,114580,0.15,40.42,5.8,2355,浦添市
210.9,62317,0.57,41.7,5.1,1927,名護市
46.63,59904,1.13,41.45,6.9,1878,糸満市
49.72,140858,0.79,40.75,7.2,1959,沖縄市
19.19,62916,0.53,39.59,5.1,2086,豊見城市
87.02,120245,0.49,42.12,7.5,1686,うるま市
204.2,51275,-0.33,46.21,5.3,1984,宮古島市
49.94,43012,0.96,44.13,6.5,1851,南城市
194.8,4781,-1.14,50.02,8.2,1956,国頭村
63.55,2992,0.13,51.21,7.5,1583,大宜味村
81.88,1642,-2.19,50.14,3.2,2826,東村
39.93,9426,-0.07,47.74,8.3,1413,今帰仁村
54.35,13274,-1.1,47.53,7.4,1775,本部町
50.83,10706,0.68,43.61,6.8,2430,恩納村
31.3,5686,0.44,42.77,4.5,2090,宜野座村
37.84,11306,-0.37,44.32,7.7,2038,金武町
22.78,4172,-1.7,50.79,2.8,2046,伊江村
35.28,39751,0.46,41.49,6.6,1905,読谷村
15.12,13660,-0.86,43.46,7.8,2928,嘉手納町
13.93,28600,0.33,41.14,7.2,2554,北谷町
11.54,16390,-0.55,43.43,6.9,2062,北中城村
15.53,20695,2.81,41.1,6.2,2076,中城村
15.9,34550,-0.49,41.01,5.7,2020,西原町
5.18,19173,1.71,40.81,6.1,1867,与那原町
10.76,38839,1.74,39.92,4.9,2065,南風原町
19.23,740,1.3,44.28,4.9,2838,渡嘉敷村
16.74,885,3.08,44.03,2.2,2196,座間味村
7.65,725,-1.36,52.96,3.2,1908,粟国村
3.87,416,-1.03,52.94,2.2,2324,渡名喜村
30.52,1339,-0.08,45.27,0.6,3307,南大東村
13.09,618,-1.69,44.93,0,4147,北大東村
21.82,1209,-1.55,47.67,7.7,1509,伊平屋村
15.42,1464,-0.26,48.32,10,2048,伊是名村
63.65,7502,-1.63,47.28,6.7,2029,久米島町
26.96,30078,1.33,41.69,7.3,1827,八重瀬町
22,1166,-0.84,46.43,7.2,2047,多良間村
334.39,4025,0.71,43.69,1.6,2136,竹富町
28.96,2069,14.36,45.62,2.4,2702,与那国町
2280.98,1447149,0.4,42.07,6.3,2129,沖縄県
